quote
"""I think your opinion is fucking"" - AdamTestBot"
"                                                                                               """"I'm gonna be stuck programming in this hell-hole language for the rest of my life!"""" - James R."
"                                                                                              ""It's Pierce. That's an insult to shit."" -Matt Mahoney"
"                                                                                             ""I'll probably just get the blacks"" - Matthew M."
"                                                                                            ""Kevin Quigley was correct."" -Adam Gincel"
"                                                                                           ""It's like getting only 1/2 of your leg chopped off as opposed to 3/4"" - Matthew M."
"                                                                                          ""dick"" - James R."
"                                                                                         ""when did we go from forks and philosophers to lawyers and chopsticks"" - Jeff M."
"                                                                                        ""dicks"" - Jeff M."
"                                                                                       ""False. I am the scrub god"" - Matthew G."
"                                                                                      ""Shut thef uck up"" - James R."
"                                                                                     ""Who the fuck thought that was a good idea."" - David Pfeffer"
"                                                                                    ""I'M FREE"" - Adam G."
"                                                                                   ""I can't wait to spend half my spring break at didney worl"" - James R."
"                                                                                  ""I am fucked up"" - Jeff M."
"                                                                                 ""But really you need to get your excrement together"" - Matthew M."
"                                                                                ""Semen semen semen"" - Jeff M."
"                                                                               ""."" - Alex M."
"                                                                              ""Dimitrios Damopoulos generally restructured James Romph with a(n) black cock"" - AdamTestBot"
"                                                                             ""I almost forgot the shame"" - Mark"
"                                                                            ""👌👀👌👀👌👀👌👀👌👀 good shit go౦ԁ sHit👌 thats ✔ some good👌👌shit right👌👌there👌👌👌 right✔there ✔✔if i do ƽaү so my self 💯 i say so 💯 thats what im talking about right there right there (chorus: ʳᶦᵍʰᵗ ᵗʰᵉʳᵉ) mMMMMᎷМ💯 👌👌 👌НO0ОଠOOOOOОଠଠOoooᵒᵒᵒᵒᵒᵒᵒᵒᵒ👌 👌👌 👌 💯 👌 👀 👀 👀 👌👌Good shit"" - James R."
"                                                                           ""How many dicks does a guy have to suck to not fail stats?"" - Matthew G."
"                                                                          ""You dare bring anime shit into my house"" - James R."
"                                                                         ""I have the best lottery number and will likely be springing for Jonas; roommate suitors begin courting me"" - James R."
"                                                                        ""<------- this guy"" - Adam G."
"                                                                       ""100% would cut a bitch."" - Robyn V."
"                                                                      ""My room becomes the social room of weird nerd shit"" - Adam G."
"                                                                     """"Don't talk to me or my two CRTs ever again"" - Adam ""I play Roy on the first date"" Gincel"" - James R."
"                                                                    ""I'm f u c k e d"" - Adam G."
"                                                                   ""Six man? Sounds like good time....."" - Matthew M."
"                                                                  ""bruh I just love being slapped with five wieners concurrently"" - James R."
"                                                                 ""That's the only kind of sex I have"" - Matthew G."
"                                                                ""Fucking a hermaphrodite would actually be a lot of fun"" - Jeff"
"                                                               ""I am in am uber"" - Adam G."
"                                                              ""'sigh'"" - Matthew M."
"                                                             ""No one has ever asked me to do something that pointless - Brian Silverman to DD"""
"                                                            ""You have to use these dank programs because you must sneeze willfully!"" - AdamTestBot"
"                                                           ""Scrub God is dead and we killed him
- Scrub Nietzsche "" - James R."
"                                                          ""Come to my roon"" - Adam G."
"                                                         ""Adam wtf"" - James R."
"                                                        ""A bird just shat on Adam's laptop."" - Jeff M."
"                                                       ""Today was going great until my laptop got shit on by a bird."" - Adam"
"                                                      ""I got a little bird shit on my right sleeve"" - James R."
"                                                     ""My dick is rock fuckin' solid rn"" - James R."
"                                                    ""My dick is rock fuckin' solid rn"" - James R."
"                                                   ""fuck"" - Adam G."
"                                                  ""Better red than dead"" - Matt Mahoney"
"                                                 ""A shot of Sodium Cyanide a day meet the doctor away."" - Matthew M."
"                                                ""Ugg.... I was hoping for the quote of you Sucking dicks..... As some form of retribution......"" - Matthew M."
"                                               ""i'm going to see my doctor over spring break she already has an idea"" - Jeff M."
"                                              ""implying I'd fuck anything with a slow SSD come on"" - James R."
"                                             ""There's no correct way I can answer that."" - William M."
"                                            ""I don't judge Humans are just animals #LoveNature"" - Matthew M."
"                                           ""Ahh yes Piss Water my favorite."" - Matthew M."
"                                          ""Your dog had a baby!?!?!?"" - Matthew M."
"                                         ""That is not a dog or cat that's a hooman"" - James R."
"                                        ""Now I can actually start writing the program as I now know I can connect to the stupid bitch ass server."" - Matthew M."
"                                       ""And I don't want to just throw my computer out in the wild with no protection either -_-"" - Matthew M."
"                                      ""Holy dicks it's light out during band"" - James R."
"                                     ""hi"" - Jeff M."
"                                    ""much philosophy
such insightful
wow
very perception"" - Mark"
"                                   ""Smart pedophiles use Tor"" - Ben B."
"                                  ""Like drugs! Which I don't use 'cause drugs are bad"" - Mark"
"                                 ""fuck you adriana spaghetti"" - James R."
"                                ""Goddammit Alex you're like an anti-cock-blocker"" - Mark"
"                               ""22 dolla? GG"" - Alex M."
"                              ""I am so fucking pissed off my code doesn't know how to multiply a variable by 10. What a cuntbag piece of shit. LITERALLY IT DOES NOT KNOW HOW TO MULTIPLY BY TEN.

atoi was really easy except for the fact that placeholder zeroes aren't showing up. 20? You wanna multiply by 10 and get 200? Well fuck you have 20 again.

Fuck you too code fuck you too."" -Mark W."
"                             ""You're here because you want to learn"" - Eduardo Bonelli"
"                            ""/quote"" - Adam Gincel"
"                           ""Since you had your wisdom teeth out we need to supply you with wisdom"" - James R."
"                          ""I promise not to fuck any other friends of mine"" - James R."
"                         ""I almost ordered a foot-long hot dog"" - James R."
"                        ""This just in. James likes foot long pieces of meat"" - Matthew G."
"                       ""How small"" - Adam G."
"                      ""13"" or so inches"" - Matthew G."
"                     ""No pls he'll backend penetration test me"" - James R."
                    2+2 = dead -C9 mang0
"                   ""Hey guys remember when Alex Massenzio was so goddamn right"" - Adam G."
"                  ""How big is it"" - Adam G."
"                 ""Adam you're a mad genius"" - Mark"
"                ""Mother dick"" - Matthew G."
"               ""I like to program in Visual Basic"" -Kevin"
"              ""A brothel?"" - Matthew M."
"             """"What do you mean this isn't what the Founding Fathers intended?"" I scream as I amputate the limbs off a grizzly bear and beat my enemies with them"" - James R."
"            ""Just try to refrain from pleading the second as that is usually seen as domestic abuse."" - Matthew M."
"           ""If I were in an rpg I'd be a mixed sweeper"" - Mark"
"          ""WE WILL DESTROY THOSE HIGH SCHOOL SCRUBS"" - Adam G."
"         ""So how does the Steroid pricing work?"" - Matthew M."
"        ""Adam looks like someone who could get laid"" - Mark"
"       ""'pics"" - James R."
"      ""We need to kick this Guy's ass"" - Matthew M."
"     ""¡Scrubsé!"" - Matthew G."
"    ""Bae"" - Adam G."
"   ""I will make sure you're all taken care of"" - Adam G."
"  ""Adam Gincel flashed Nicholas Antonov with a creepy shock"" - AdamTestBot"
" ""Dicks dicks dicks dicks dicks dicks dicks"" - Matt M."
